batch_index,batch_total,duration_s,processed_cum,processed_total,time,source
1,5,5.0,10,50,,app_log_2025-08-16T12-21-39.csv
2,5,5.0,20,50,,app_log_2025-08-16T12-21-39.csv
3,5,5.0,30,50,,app_log_2025-08-16T12-21-39.csv
4,5,5.0,40,50,,app_log_2025-08-16T12-21-39.csv
5,5,5.0,50,50,,app_log_2025-08-16T12-21-39.csv
1,5,133.0,10,50,,app_log_2025-08-16T12-21-39.csv
2,5,147.0,20,50,,app_log_2025-08-16T12-21-39.csv
3,5,132.0,30,50,,app_log_2025-08-16T12-21-39.csv
4,5,110.0,40,50,,app_log_2025-08-16T12-21-39.csv
5,5,107.0,50,50,,app_log_2025-08-16T12-21-39.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-02-26.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-02-26.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-02-26.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-02-26.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-02-26.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-02-55.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-02-55.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-02-55.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-02-55.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-02-55.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-02-55.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-02-55.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-02-55.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-02-55.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-02-55.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-25.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-25.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-25.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-25.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-25.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-25.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-25.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-25.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-25.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-25.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-25.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-25.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-25.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-25.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-25.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-51.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-51.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-51.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-51.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-51.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-51.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-51.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-51.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-51.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-51.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-03-51.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-03-51.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-03-51.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-03-51.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-03-51.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-03-51.csv
2,2,9.0,50,50,,app_log_2025-08-16T13-03-51.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-18.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-18.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-18.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-18.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-18.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-18.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-18.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-18.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-18.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-18.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-18.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-18.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-18.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-18.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-18.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-04-18.csv
2,2,9.0,50,50,,app_log_2025-08-16T13-04-18.csv
1,2,13.0,30,50,,app_log_2025-08-16T13-04-18.csv
2,2,10.0,50,50,,app_log_2025-08-16T13-04-18.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-45.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-45.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-45.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-45.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-45.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-45.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-45.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-45.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-04-45.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-04-45.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-04-45.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-04-45.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-04-45.csv
2,2,9.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,2,13.0,30,50,,app_log_2025-08-16T13-04-45.csv
2,2,10.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-04-45.csv
2,2,10.0,50,50,,app_log_2025-08-16T13-04-45.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-05-10.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-05-10.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-05-10.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-05-10.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-05-10.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-05-10.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-05-10.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-05-10.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,5,5.0,10,50,,app_log_2025-08-16T13-05-10.csv
2,5,5.0,20,50,,app_log_2025-08-16T13-05-10.csv
3,5,5.0,30,50,,app_log_2025-08-16T13-05-10.csv
4,5,5.0,40,50,,app_log_2025-08-16T13-05-10.csv
5,5,5.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-05-10.csv
2,2,9.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,2,13.0,30,50,,app_log_2025-08-16T13-05-10.csv
2,2,10.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,2,14.0,30,50,,app_log_2025-08-16T13-05-10.csv
2,2,10.0,50,50,,app_log_2025-08-16T13-05-10.csv
1,1,23.0,50,50,,app_log_2025-08-16T13-05-10.csv
